State,1
AK,0,0.023254753554994068,0,0,0,0,0,0,0,0,0,0,0,0,0.008810515441217692,0,0,0.009132356329552449,0,0,0,0.009216524317921526,0,0,0,0,0.00823040602208025,0.006733981200988559,0,0,0,0,0.005865085776889156,0.006116188826397861,0.012820336086290185,0.016259801418797126,0,0,0.00823040602208025,0,0,0,0,0,0,0,0.011299314123332849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018484283087109032,0,0,0.0009394081037339408,0,0.003273319494764504,0,0,0,0,0,0.0012247395896196611,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000729128658900069,0,0.0007493442886394863,0,0,0,0,0.000946521462665495,0,0.0011318617919414686,0,0,0,0,0.003361341367606241,0,0,0,0,0,0,0.0019286397101828667,0.0016090101111559951,0.003076920645632253,0,0,0,0.0027893984677790362,0,0,0,0,0,0.003395582470402392,0,0,0,0,0,0,0,0,0,0
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001034661056123709,0,0,0,0,0,0,0,0.0011897678548096202,0,0,0.0012128561277630068,0,0.00117027488098842,0,0.0012202561023048064,0,0.004234291472376417,0,0.0012618294854659373,0.001215805321268304,0.0021367513229004764,0.0010432967232624213,0,0,0,0.002621230476219094,0,0,0.0011968879479953287,0.0023529400896372676,0.003466201029630911,0.0011217048739083912,0,0,0.004813468421415279,0,0,0,0.0034722187276388095,0,0,0,0.005571016191745937,0,0.0018264835100316734,0,0.0018921470224516623,0,0,0,0,0,0.0060059878975835534,0,0,0.007547133852074395,0.004140780820683809,0,0,0.0029806237214647924,0.0030075165266206794,0,0,0,0,0,0,0,0,0.0029895343919530415,0,0,0,0,0,0,0,0,0,0
AZ,0,0,0,0,0.0024479791921769856,0,0,0,0,0,0,0.0050890475129274915,0,0,0,0.0018298256554850623,0,0.004008010655837002,0.006472469240026202,0.006936388276828964,0.007325974439920335,0,0.0018165299269177204,0.0016380012714649617,0.004216437872126,0.0013821697867179017,0,0,0.001651527287393706,0,0.0021119316323527926,0,0,0.002350175180214742,0,0.01746680089745989,0,0.0076432747490482456,0,0.0026281193788648682,0.002366862799077052,0,0.002200219133425496,0,0.002002001332661596,0,0.0032467503900065475,0.0029717660117531963,0,0,0,0,0.002185791478522159,0,0.002259886042775161,0.002945505967401396,0,0,0,0,0,0,0,0,0,0,0.018691039471916415,0.014184157647595397,0.13064176460119414,0.021051845775030165,0,0,0.013244838192804309,0,0.007325974439920335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,0,0,0,0,0,0,0,0.0013468011430869398,0.0013029314116463908,0,0,0.0011968879479953287,0,0,0,0,0.0009203864973538201,0,0,0.0018018013139015077,0,0.002815577677461767,0,0.00245599548928932,0,0.0007877116567720499,0,0,0.0019960073206876094,0.0010970925942336285,0,0.00112676044410287,0.0010368065426364925,0,0.0018796986941428395,0,0.0015624996818600634,0.0007109846838677658,0.0006327111462379742,0.006818155314540775,0.0038891540576876382,0.0017761984668908104,0.0029563910438058505,0.005394700062237745,0.0055874956935123565,0.0015057970349428018,0.002625819058207135,0.003690032705558899,0.0018214931206947949,0.0006393861674688361,0.0024853528820442117,0.002823147950862248,0.002625819058207135,0.003270261037728206,0.004038358963029731,0.002266287980757453,0.004282648686487978,0.006528812423767016,0.0017006798618517394,0.013058577646149594,0.003376473995536089,0.0013097575074667578,0.00705879411575161,0.0011217048739083912,0.001081665659758979,0,0,0.0017137956384439823,0,0,0,0,0,0.002249717835220877,0,0,0,0.004301068623984494,0.0023837890962984387,0,0.006472469240026202,0,0,0.0028612283742582845,0.005063280294548833,0.002436052387009613,0,0,0,0,0,0,0,0,0,0.007380040180249514
CO,0,0,0.0025477693207195395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010487676017749692,0,0,0,0.002252251299107222,0,0.0013995798973412965,0,0.001755925799533875,0,0,0,0,0,0.0020682515887462394,0,0.002157496465332809,0,0,0,0,0,0,0,0.0016597506560082076,0.0016353226115468633,0,0.0019323665478819807,0,0.0021953887989334397,0,0,0,0,0.006733981200988559,0,0,0,0,0,0.01075258401081991,0,0,0,0.014598278978346202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040810542890861834,0,0,0,0,0,0,0,0
CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035778137079003347,0,0,0,0.0053619174139860615,0,0,0,0.006309127270684223,0.006514634864667412,0.012499836218510807,0.0067796349604913875,0,0.0054794383074023845,0,0,0.003724390472695127,0.021427742615714562,0,0.0031397148421467014,0.004705873648035652,0.003960390852860485,0.008315960191085714,0.006376173865179302,0.0169692862656059,0.003514934863348418,0.017594849951650726,0,0.0068259119722495765,0.008968549478599597,0.006211160093793078,0.00335008061365738,0.016259801418797126,0.00803208515742293,0.017093597271033878,0,0.015266876750508418,0.015999655922869782,0,0,0,0,0,0,0,0,0.01156056413789841,0,0.018017526141772544,0,0,0.010050166233954716,0.009661760222745563,0.01092885237064023,0,0,0,0,0,0.02061781866875978,0.023528313347756735,0,0,0.04650304516652326,0,0,0,0,0.15351827510938587
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19926259708319194,0.15351827510938587,0,0,0,0,0,0,0.09516258196404048,0,0.11750309741540454,0,0.22119921692859512,0.1331221002498184,0,0,0,0,0.22119921692859512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6321205588285577,0,0,0,0,0,0,0,0,0,0,0
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02380838553475151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024690087971667385,0.03076676552365587,0,0,0,0,0.03921056084767682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,0,0,0,0,0,0.0013670537855873244,0,0,0,0.0012202561023048064,0,0.004907965583876295,0,0,0.0010995051118217747,0,0,0.001221746946286073,0.0012539183308988289,0,0,0.003466201029630911,0.023821888707435734,0.0022321419293106493,0.007968085162939342,0.019138166160551084,0.006253888245829176,0.0026773745698467355,0.0014398845602637822,0.004528294131317501,0.0031298878947420006,0.007651071943422849,0.007639382108377113,0.006269571875003321,0,0.015397469300313604,0.010135047936575936,0.010894833276345217,0.007027377864642803,0.004962768945251161,0.0022123884771230173,0.002205070770359141,0.001052077756667491,0.014516772785535648,0.010569484167624377,0.0035566056099618493,0.004733718950180932,0.009356656562152788,0.011520609164177187,0.0011855363163080224,0.00245398649704498,0.006447430848956492,0.0024999986962878085,0.006770454753497024,0.0028694384874433654,0,0.004750584868636554,0.002089863397405245,0,0,0.0026990536898923168,0,0.003179647555308862,0.0070921687482111695,0,0,0.0052493317462602995,0.008968549478599597,0,0,0,0,0,0.01092885237064023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02020132614629566,0,0,0,0,0,0,0,0
